DEPTH,DTCO,ECGR,HART,PEFZ,RHOZ,TNPH,Gelogical layer
M,us/ft,gAPI,ohm.m,B/E,g/cm3,m3/m3,
2892.095,104.618,73.567,0.892,3.854,2.431,0.238,8
2892.247,103.093,69.257,0.891,3.869,2.435,0.223,8
2892.4,102.183,65.464,0.955,3.954,2.443,0.202,8
2892.552,101.694,64.315,1.037,4.064,2.453,0.209,8
2892.704,101.043,64.097,1.121,4.161,2.458,0.222,8
2892.857,101.397,65.563,1.091,4.176,2.459,0.25,8
2893.009,102.701,69.308,1.03,4.093,2.459,0.247,8
2893.162,103.819,73.159,0.978,4.012,2.455,0.259,8
2893.314,104.93,76.255,0.935,3.969,2.446,0.247,8
2893.466,105.426,76.806,0.91,3.955,2.431,0.241,8
2893.619,105.819,78.005,0.883,3.902,2.423,0.238,8
2893.771,106.498,79.318,0.889,3.859,2.416,0.245,8
2893.924,105.917,76.48,0.829,3.86,2.414,0.254,8
2894.076,105.323,72.427,0.797,3.885,2.416,0.256,8
2894.228,104.736,69.923,0.847,3.914,2.424,0.259,8
2894.381,104.042,67.346,0.935,3.954,2.432,0.243,8
2894.533,103.664,67.553,0.976,3.996,2.433,0.242,8
2894.686,102.827,67.705,0.966,4.044,2.427,0.236,8
2894.838,102.71,69.142,0.927,4.101,2.418,0.238,8
2894.99,103.063,69.18,0.968,4.14,2.417,0.229,8
2895.143,103.187,71.838,0.999,4.088,2.43,0.229,8
2895.295,103.049,74.849,1.016,3.96,2.447,0.233,8
2895.448,103.084,74.749,0.982,3.876,2.451,0.242,8
2895.6,103.525,73.681,0.949,3.874,2.437,0.24,8
2895.752,103.288,71.566,0.939,3.9,2.423,0.234,8
2895.905,102.053,71.066,0.95,3.895,2.417,0.225,8
2896.057,101.7,67.319,0.981,3.88,2.421,0.221,8
2896.21,101.209,69.038,1.041,3.839,2.432,0.211,8
2896.362,100.675,70.68,1.102,3.809,2.441,0.215,8
2896.514,101.331,75.248,1.099,3.786,2.442,0.227,8
2896.667,102.232,77.249,1.032,3.847,2.423,0.238,8
2896.819,103.007,77.426,0.955,3.906,2.408,0.246,8
2896.972,103.673,73.25,0.905,3.941,2.409,0.236,8
2897.124,103.804,70.678,0.892,3.92,2.43,0.233,8
2897.276,103.676,71.922,0.956,3.927,2.445,0.243,8
2897.429,103.973,74.432,0.982,3.939,2.444,0.244,8
2897.581,103.94,71.357,0.964,3.97,2.43,0.243,8
2897.734,104.614,72.345,0.944,3.967,2.42,0.236,8
2897.886,105.498,73.647,0.924,3.963,2.419,0.226,8
2898.038,105.942,74.481,0.924,3.956,2.422,0.224,8
2898.191,105.762,73.515,0.905,3.965,2.426,0.227,8
2898.343,104.628,71.421,0.935,4.004,2.426,0.234,8
